Demo_Task,Fiscal_Period,Txn_ID,Entity,Posting_Date,Account_Code,P_L_Section,P_L_Line_Item,Category,Cost_Center,Cost_Center_Name,Vendor_or_Customer,Invoice_Number,PO_Number,Amount_AUD,Input_or_Calculated,Close_Readiness_Flag,Anomaly_Flag,Approval_Required,Source_File_Target
"IBM BOB 1 - Group P&L",2026-06,TXN004221,AUS01,2026-06-19,5200,"Research and development","Software licenses",IT,WA,"Western Australia Operations","QBE Insurance",BOB-PL-0013,PO-PL-9180,72143.24,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004222,AUS01,2026-06-30,5200,"Research and development","Software licenses",IT,MKT,"Marketing & Sales",Snowflake,BOB-PL-0014,PO-PL-6810,171185.67,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004223,AUS01,2026-06-07,5200,"Research and development","Software licenses",IT,R&D,"Research & Development",Officeworks,BOB-PL-0015,PO-PL-5400,37904.08,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004224,AUS01,2026-06-10,5520,"Sales and marketing",Events,Sales,NT,"Northern Territory Operations","Melbourne Airport",BOB-PL-0016,PO-PL-2197,82847.14,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004225,NZL01,2026-06-13,4000,Revenue,"Product sales","Operating Revenue",TAS,"Tasmania Operations","QBE Insurance",BOB-PL-0017,PO-PL-2050,141246.51,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004226,NZL01,2026-06-12,5000,"General and administrative","Salaries and wages",Personnel,OPS,"Operations & Logistics",LinkedIn,BOB-PL-0018,PO-PL-6328,3524.20,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004227,AUS01,2026-06-31,5300,"General and administrative","Professional services",External,MKT,"Marketing & Sales",Officeworks,BOB-PL-0019,PO-PL-2373,162921.73,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004228,AUS01,2026-06-22,5010,"General and administrative","Employee benefits",Personnel,CORP,"Corporate Head Office","Qantas Commercial",BOB-PL-0020,PO-PL-3982,111451.80,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004229,PNG01,2026-06-04,5110,"Other operating expenses",Utilities,Facilities,TAS,"Tasmania Operations",LinkedIn,BOB-PL-0021,PO-PL-6415,133771.17,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004230,FJI01,2026-06-10,4100,"Other income / expense","Interest income","Non-Operating Revenue",IT,"Information Technology","IBM Australia",BOB-PL-0022,PO-PL-2677,367691.05,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004231,AUS01,2026-06-07,5910,"Other income / expense","Interest expense",Finance,ACT,"Australian Capital Territory","Melbourne Airport",BOB-PL-0023,PO-PL-9331,87437.40,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004232,NZL01,2026-06-15,2210,"Tax provision","Income tax payable","Current Liabilities",MKT,"Marketing & Sales",Snowflake,BOB-PL-0024,PO-PL-9866,44374.25,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004233,AUS01,2026-06-22,6020,"Cost of revenue","Direct labor",COGS,NSW,"New South Wales Operations",AWS,BOB-PL-0025,PO-PL-9649,114037.97,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004234,NZL01,2026-06-17,4010,Revenue,"Service revenue","Operating Revenue",OPS,"Operations & Logistics",LinkedIn,BOB-PL-0026,PO-PL-8725,89343.80,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004235,AUS01,2026-06-16,5000,"General and administrative","Salaries and wages",Personnel,CORP,"Corporate Head Office",Deloitte,BOB-PL-0027,PO-PL-5284,30389.20,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004236,AUS01,2026-06-01,5210,"Research and development","Cloud services",IT,OPS,"Operations & Logistics","Google Ads",BOB-PL-0028,PO-PL-7324,117550.61,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004237,AUS01,2026-06-28,6030,"Cost of revenue","Manufacturing overhead",COGS,HR,"Human Resources","Energy Australia",BOB-PL-0029,PO-PL-5069,123302.83,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004238,AUS01,2026-06-23,6000,"Cost of revenue","Cost of goods sold",COGS,QLD,"Queensland Operations",LinkedIn,BOB-PL-0030,PO-PL-5970,125483.43,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004239,AUS01,2026-06-23,5700,"Research and development",Training,Development,CORP,"Corporate Head Office","SAP Australia",BOB-PL-0031,PO-PL-5594,28282.80,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004240,AUS01,2026-06-30,5000,"General and administrative","Salaries and wages",Personnel,IT,"Information Technology","Energy Australia",BOB-PL-0032,PO-PL-9490,20469.50,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004241,AUS01,2026-06-23,4010,Revenue,"Service revenue","Operating Revenue",CORP,"Corporate Head Office","IBM Australia",BOB-PL-0033,PO-PL-5129,151941.94,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004242,AUS01,2026-06-22,5300,"General and administrative","Professional services",External,VIC,"Victoria Operations","Energy Australia",BOB-PL-0034,PO-PL-5240,31741.65,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004243,AUS01,2026-06-22,6030,"Cost of revenue","Manufacturing overhead",COGS,MKT,"Marketing & Sales","QBE Insurance",BOB-PL-0035,PO-PL-8422,83711.32,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004244,AUS01,2026-06-23,5320,"General and administrative","Audit fees",External,MKT,"Marketing & Sales","Qantas Commercial",BOB-PL-0036,PO-PL-5626,104242.65,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004245,AUS01,2026-06-20,5000,"General and administrative","Salaries and wages",Personnel,TAS,"Tasmania Operations","SAP Australia",BOB-PL-0037,PO-PL-2135,16280.72,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004246,AUS01,2026-06-19,6020,"Cost of revenue","Direct labor",COGS,R&D,"Research & Development",Officeworks,BOB-PL-0038,PO-PL-7914,30639.06,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004247,AUS01,2026-06-29,6020,"Cost of revenue","Direct labor",COGS,CORP,"Corporate Head Office","Google Ads",BOB-PL-0039,PO-PL-2720,105976.73,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004248,AUS01,2026-06-13,2210,"Tax provision","Income tax payable","Current Liabilities",MKT,"Marketing & Sales","QBE Insurance",BOB-PL-0040,PO-PL-6110,11183.44,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004249,NZL01,2026-06-24,6030,"Cost of revenue","Manufacturing overhead",COGS,OPS,"Operations & Logistics",Snowflake,BOB-PL-0041,PO-PL-8501,34200.26,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004250,AUS01,2026-06-15,5320,"General and administrative","Audit fees",External,IT,"Information Technology","QBE Insurance",BOB-PL-0042,PO-PL-7691,61305.76,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004251,NZL01,2026-06-24,4000,Revenue,"Product sales","Operating Revenue",NSW,"New South Wales Operations",Snowflake,BOB-PL-0043,PO-PL-9749,227154.75,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004252,NZL01,2026-06-09,6020,"Cost of revenue","Direct labor",COGS,MKT,"Marketing & Sales","IBM Australia",BOB-PL-0044,PO-PL-9968,106447.92,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004253,AUS01,2026-06-14,5010,"General and administrative","Employee benefits",Personnel,SA,"South Australia Operations",Deloitte,BOB-PL-0045,PO-PL-4533,104226.82,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004254,AUS01,2026-06-25,4000,Revenue,"Product sales","Operating Revenue",NT,"Northern Territory Operations",Deloitte,BOB-PL-0046,PO-PL-4873,425290.70,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004255,AUS01,2026-06-27,4000,Revenue,"Product sales","Operating Revenue",ACT,"Australian Capital Territory","Google Ads",BOB-PL-0047,PO-PL-2125,206129.82,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004256,AUS01,2026-06-13,4100,"Other income / expense","Interest income","Non-Operating Revenue",IT,"Information Technology",Officeworks,BOB-PL-0048,PO-PL-2927,439349.98,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004257,PNG01,2026-06-17,5100,"Other operating expenses","Office rent",Facilities,VIC,"Victoria Operations",LinkedIn,BOB-PL-0049,PO-PL-5741,29811.72,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004258,AUS01,2026-06-12,6010,"Cost of revenue","Direct materials",COGS,NT,"Northern Territory Operations","Energy Australia",BOB-PL-0050,PO-PL-5195,14735.48,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004259,AUS01,2026-06-31,5000,"General and administrative","Salaries and wages",Personnel,VIC,"Victoria Operations","Qantas Commercial",BOB-PL-0051,PO-PL-8401,33339.27,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004260,AUS01,2026-06-27,4000,Revenue,"Product sales","Operating Revenue",R&D,"Research & Development","Qantas Commercial",BOB-PL-0052,PO-PL-6001,75676.05,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004261,AUS01,2026-06-22,5110,"Other operating expenses",Utilities,Facilities,NSW,"New South Wales Operations",Snowflake,BOB-PL-0053,PO-PL-5686,95777.35,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004262,NZL01,2026-06-06,6020,"Cost of revenue","Direct labor",COGS,CORP,"Corporate Head Office",Deloitte,BOB-PL-0054,PO-PL-7173,10424.18,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004263,AUS01,2026-06-25,5000,"General and administrative","Salaries and wages",Personnel,NSW,"New South Wales Operations","Qantas Commercial",BOB-PL-0055,PO-PL-7177,161584.74,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004264,FJI01,2026-06-12,5000,"General and administrative","Salaries and wages",Personnel,NT,"Northern Territory Operations",Deloitte,BOB-PL-0056,PO-PL-2618,74848.20,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004265,AUS01,2026-06-05,5600,"Other operating expenses",Telecommunications,Operations,OPS,"Operations & Logistics","Google Ads",BOB-PL-0057,PO-PL-6357,151270.52,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004266,AUS01,2026-06-16,5920,"Other income / expense","FX loss",Finance,ACT,"Australian Capital Territory",LinkedIn,BOB-PL-0058,PO-PL-5992,105652.09,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004267,AUS01,2026-06-14,4000,Revenue,"Product sales","Operating Revenue",SA,"South Australia Operations","IBM Australia",BOB-PL-0059,PO-PL-6748,270788.86,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004268,AUS01,2026-06-11,4010,Revenue,"Service revenue","Operating Revenue",SA,"South Australia Operations",AWS,BOB-PL-0060,PO-PL-4262,444159.47,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004269,AUS01,2026-06-26,5100,"Other operating expenses","Office rent",Facilities,ACT,"Australian Capital Territory",Officeworks,BOB-PL-0061,PO-PL-4082,42317.52,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004270,AUS01,2026-06-08,5510,"Sales and marketing",Advertising,Sales,IT,"Information Technology","SAP Australia",BOB-PL-0062,PO-PL-9922,21970.52,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004271,AUS01,2026-06-24,4010,Revenue,"Service revenue","Operating Revenue",IT,"Information Technology",Officeworks,BOB-PL-0063,PO-PL-2270,95352.17,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004272,AUS01,2026-06-04,5100,"Other operating expenses","Office rent",Facilities,ACT,"Australian Capital Territory","IBM Australia",BOB-PL-0064,PO-PL-2662,149127.05,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004273,AUS01,2026-06-07,5510,"Sales and marketing",Advertising,Sales,IT,"Information Technology",LinkedIn,BOB-PL-0065,PO-PL-6963,58980.64,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004274,AUS01,2026-06-12,5000,"General and administrative","Salaries and wages",Personnel,HR,"Human Resources","QBE Insurance",BOB-PL-0066,PO-PL-9263,152373.36,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004275,AUS01,2026-06-17,6030,"Cost of revenue","Manufacturing overhead",COGS,VIC,"Victoria Operations","Google Ads",BOB-PL-0067,PO-PL-6473,12415.26,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004276,AUS01,2026-06-30,5010,"General and administrative","Employee benefits",Personnel,VIC,"Victoria Operations",AWS,BOB-PL-0068,PO-PL-4498,86905.65,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004277,AUS01,2026-06-20,5000,"General and administrative","Salaries and wages",Personnel,ACT,"Australian Capital Territory","IBM Australia",BOB-PL-0069,PO-PL-7851,62116.32,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004278,AUS01,2026-06-11,6020,"Cost of revenue","Direct labor",COGS,ACT,"Australian Capital Territory","IBM Australia",BOB-PL-0070,PO-PL-5827,4736.83,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004279,AUS01,2026-06-08,5500,"Sales and marketing","Campaign spend",Sales,ACT,"Australian Capital Territory","Qantas Commercial",BOB-PL-0071,PO-PL-5892,62804.63,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004280,AUS01,2026-06-06,4020,Revenue,"Subscription revenue","Operating Revenue",NT,"Northern Territory Operations",Snowflake,BOB-PL-0072,PO-PL-8654,177969.81,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004281,AUS01,2026-06-04,4020,Revenue,"Subscription revenue","Operating Revenue",WA,"Western Australia Operations","SAP Australia",BOB-PL-0073,PO-PL-4847,129211.35,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004282,AUS01,2026-06-04,5000,"General and administrative","Salaries and wages",Personnel,R&D,"Research & Development","Google Ads",BOB-PL-0074,PO-PL-6331,410010.74,Input,"Requires review","Material variance > threshold",Yes,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004283,AUS01,2026-06-19,4020,Revenue,"Subscription revenue","Operating Revenue",OPS,"Operations & Logistics","Qantas Commercial",BOB-PL-0075,PO-PL-4061,267174.55,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004284,AUS01,2026-06-04,4000,Revenue,"Product sales","Operating Revenue",MKT,"Marketing & Sales","SAP Australia",BOB-PL-0076,PO-PL-7131,449284.83,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004285,AUS01,2026-06-19,4010,Revenue,"Service revenue","Operating Revenue",HR,"Human Resources","Google Ads",BOB-PL-0077,PO-PL-3251,413785.39,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004286,AUS01,2026-06-23,4000,Revenue,"Product sales","Operating Revenue",HR,"Human Resources","Qantas Commercial",BOB-PL-0078,PO-PL-6170,342380.75,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004287,AUS01,2026-06-08,5100,"Other operating expenses","Office rent",Facilities,SA,"South Australia Operations",Officeworks,BOB-PL-0079,PO-PL-9858,84218.03,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004288,AUS01,2026-06-03,4000,Revenue,"Product sales","Operating Revenue",MKT,"Marketing & Sales",Deloitte,BOB-PL-0080,PO-PL-4072,430051.68,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004289,AUS01,2026-06-07,4000,Revenue,"Product sales","Operating Revenue",FIN,"Finance & Accounting",AWS,BOB-PL-0081,PO-PL-8153,207651.13,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004290,NZL01,2026-06-03,6010,"Cost of revenue","Direct materials",COGS,HR,"Human Resources",LinkedIn,BOB-PL-0082,PO-PL-2017,37010.67,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004291,NZL01,2026-06-14,4010,Revenue,"Service revenue","Operating Revenue",CORP,"Corporate Head Office","SAP Australia",BOB-PL-0083,PO-PL-4646,110362.21,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004292,AUS01,2026-06-09,5110,"Other operating expenses",Utilities,Facilities,VIC,"Victoria Operations",Deloitte,BOB-PL-0084,PO-PL-3003,43215.69,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004293,AUS01,2026-06-25,5300,"General and administrative","Professional services",External,NT,"Northern Territory Operations","SAP Australia",BOB-PL-0085,PO-PL-8111,172200.90,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004294,NZL01,2026-06-14,5300,"General and administrative","Professional services",External,QLD,"Queensland Operations","Energy Australia",BOB-PL-0086,PO-PL-2184,21455.55,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004295,FJI01,2026-06-25,6010,"Cost of revenue","Direct materials",COGS,OPS,"Operations & Logistics",LinkedIn,BOB-PL-0087,PO-PL-5010,125904.60,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
