Txn_ID,Posting_Date_Raw,Invoice_Date_Raw,Fiscal_Period,Entity,Account_Code_Raw,Cost_Center_Raw,Cost_Center,Vendor_Name_Raw,Invoice_Number,PO_Number,Currency,Amount,Tax_Code,Narrative,Source_System
TXN004224,2026-06-07,2026-06-05,2026-06,AUS01,5300,,MKT,Google Ads,BOB-PL-0016,PO-PL-5943,USD,135478.99,EXPORT,P&L transaction - Professional services,Manual Entry
TXN004225,2026-06-23,2026-06-19,2026-06,AUS01,5010,,WA,QBE Insurance,BOB-PL-0017,PO-PL-6185,GBP,76155.13,EXPORT,P&L transaction - Employee benefits,Manual Entry
TXN004226,2026-06-18,2026-06-15,2026-06,FJI01,5510,,SA,AWS,BOB-PL-0018,PO-PL-1434,USD,195454.51,EXPORT,P&L transaction - Advertising,Oracle
TXN004227,2026-06-28,2026-06-21,2026-06,NZL01,5510,,ACT,Energy Australia,BOB-PL-0019,PO-PL-8767,USD,41942.84,GST-FREE,P&L transaction - Advertising,Workday
TXN004228,2026-06-05,2026-02-28,2026-06,PNG01,2210,,R&D,Snowflake,BOB-PL-0020,PO-PL-1532,AUD,138296.73,EXPORT,P&L transaction - Income tax payable,Oracle
TXN004229,2026-06-09,2026-06-02,2026-06,PNG01,2210,,QLD,Google Ads,BOB-PL-0021,PO-PL-9675,USD,182543.17,EXPORT,P&L transaction - Income tax payable,Workday
TXN004230,2026-06-24,2026-06-18,2026-06,AUS01,5100,,CORP,Snowflake,BOB-PL-0022,PO-PL-5123,USD,47278.49,EXPORT,P&L transaction - Office rent,SAP
TXN004231,2026-06-07,2026-06-02,2026-06,NZL01,6010,,QLD,AWS,BOB-PL-0023,PO-PL-1348,NZD,82345.71,GST-FREE,P&L transaction - Direct materials,Oracle
TXN004232,2026-06-04,2026-06-02,2026-06,FJI01,4020,,NSW,Oracle,BOB-PL-0024,PO-PL-1069,NZD,324619.24,EXPORT,P&L transaction - Subscription revenue,SAP
TXN004233,2026-06-23,2026-06-15,2026-06,AUS01,4020,,OPS,Oracle,BOB-PL-0025,PO-PL-5776,AUD,326690.33,EXPORT,P&L transaction - Subscription revenue,Manual Entry
TXN004234,2026-06-18,2026-06-08,2026-06,PNG01,5910,,WA,LinkedIn,BOB-PL-0026,PO-PL-3327,AUD,43659.59,GST,P&L transaction - Interest expense,Oracle
TXN004235,2026-06-18,2026-06-13,2026-06,FJI01,4020,,FIN,Microsoft,BOB-PL-0027,PO-PL-7796,USD,217749.63,INPUT,P&L transaction - Subscription revenue,Oracle
TXN004236,2026-06-11,2026-06-08,2026-06,PNG01,5210,,R&D,Salesforce,BOB-PL-0028,PO-PL-1556,USD,29359.94,GST,P&L transaction - Cloud services,Manual Entry
TXN004237,2026-06-31,2026-06-23,2026-06,NZL01,5510,,TAS,Qantas Commercial,BOB-PL-0029,PO-PL-5641,GBP,54004.43,GST,P&L transaction - Advertising,Manual Entry
TXN004238,2026-06-15,2026-06-11,2026-06,FJI01,5500,,HR,Google Ads,BOB-PL-0030,PO-PL-2779,USD,138518.71,INPUT,P&L transaction - Campaign spend,SAP
TXN004239,2026-06-24,2026-06-22,2026-06,PNG01,4020,,OPS,Officeworks,BOB-PL-0031,PO-PL-4753,USD,236516.92,GST-FREE,P&L transaction - Subscription revenue,Oracle
TXN004240,2026-06-03,2026-06-02,2026-06,AUS01,5300,,CORP,QBE Insurance,BOB-PL-0032,PO-PL-1904,AUD,18858.6,GST-FREE,P&L transaction - Professional services,Workday
TXN004241,2026-06-23,2026-06-18,2026-06,PNG01,5010,,WA,Google Ads,BOB-PL-0033,PO-PL-3241,AUD,179403.9,GST,P&L transaction - Employee benefits,Oracle
TXN004242,2026-06-13,2026-06-06,2026-06,NZL01,5000,,FIN,SAP Australia,BOB-PL-0034,PO-PL-1396,USD,183984.15,INPUT,P&L transaction - Salaries and wages,Workday
TXN004243,2026-06-05,2026-02-27,2026-06,PNG01,5510,,VIC,Salesforce,BOB-PL-0035,PO-PL-2559,USD,93737.48,GST,P&L transaction - Advertising,SAP
TXN004244,2026-06-02,2026-02-22,2026-06,PNG01,2210,,CORP,Energy Australia,BOB-PL-0036,PO-PL-7639,USD,198789.25,INPUT,P&L transaction - Income tax payable,SAP
TXN004245,2026-06-04,2026-02-23,2026-06,AUS01,5000,,ACT,Microsoft,BOB-PL-0037,PO-PL-4043,AUD,45984.24,GST-FREE,P&L transaction - Salaries and wages,SAP
TXN004246,2026-06-22,2026-06-21,2026-06,NZL01,5300,,QLD,Oracle,BOB-PL-0038,PO-PL-8612,GBP,133437.38,INPUT,P&L transaction - Professional services,SAP
TXN004247,2026-06-24,2026-06-17,2026-06,PNG01,6030,,FIN,Google Ads,BOB-PL-0039,PO-PL-1693,AUD,51201.85,GST-FREE,P&L transaction - Manufacturing overhead,SAP
TXN004248,2026-06-31,2026-06-26,2026-06,FJI01,4000,,R&D,AWS,BOB-PL-0040,PO-PL-8589,AUD,456136.65,GST,P&L transaction - Product sales,Manual Entry
TXN004249,2026-06-08,2026-06-07,2026-06,AUS01,5100,,VIC,QBE Insurance,BOB-PL-0041,PO-PL-9944,GBP,27105.05,GST,P&L transaction - Office rent,API Import
TXN004250,2026-06-13,2026-06-04,2026-06,AUS01,5320,,QLD,Microsoft,BOB-PL-0042,PO-PL-6623,AUD,169551.94,INPUT,P&L transaction - Audit fees,API Import
TXN004251,2026-06-05,2026-02-24,2026-06,NZL01,6020,,QLD,Officeworks,BOB-PL-0043,PO-PL-6919,USD,36265.62,GST,P&L transaction - Direct labor,Oracle
TXN004252,2026-06-17,2026-06-13,2026-06,FJI01,5500,,FIN,Qantas Commercial,BOB-PL-0044,PO-PL-6419,AUD,190700.1,INPUT,P&L transaction - Campaign spend,Oracle
TXN004253,2026-06-26,2026-06-17,2026-06,AUS01,5200,,SA,Google Ads,BOB-PL-0045,PO-PL-4272,GBP,53965.37,GST,P&L transaction - Software licenses,SAP
TXN004254,2026-06-24,2026-06-14,2026-06,FJI01,4100,,VIC,Qantas Commercial,BOB-PL-0046,PO-PL-9655,GBP,169552.89,INPUT,P&L transaction - Interest income,SAP
TXN004255,2026-06-08,2026-02-27,2026-06,NZL01,2210,,CORP,QBE Insurance,BOB-PL-0047,PO-PL-6469,USD,91648.28,INPUT,P&L transaction - Income tax payable,Oracle
TXN004256,2026-06-05,2026-06-04,2026-06,PNG01,5920,,WA,Snowflake,BOB-PL-0048,PO-PL-9733,AUD,113230.69,GST-FREE,P&L transaction - FX Loss,Oracle
TXN004257,2026-06-23,2026-06-20,2026-06,PNG01,5520,,WA,Salesforce,BOB-PL-0049,PO-PL-3085,NZD,67746.44,GST,P&L transaction - Events,SAP
TXN004258,2026-06-25,2026-06-22,2026-06,AUS01,5510,,SA,Oracle,BOB-PL-0050,PO-PL-6272,NZD,67480.97,EXPORT,P&L transaction - Advertising,Manual Entry
TXN004259,2026-06-17,2026-06-08,2026-06,NZL01,5500,,NSW,SAP Australia,BOB-PL-0051,PO-PL-5850,NZD,29174.13,GST,P&L transaction - Campaign spend,SAP
TXN004260,2026-06-30,2026-06-21,2026-06,AUS01,6010,,IT,Melbourne Airport,BOB-PL-0052,PO-PL-5292,GBP,132808.15,GST-FREE,P&L transaction - Direct materials,Workday
TXN004261,2026-06-22,2026-06-13,2026-06,PNG01,4100,,OPS,Officeworks,BOB-PL-0053,PO-PL-7565,AUD,139807.71,GST-FREE,P&L transaction - Interest income,API Import
TXN004262,2026-06-21,2026-06-15,2026-06,NZL01,5210,,QLD,IBM Australia,BOB-PL-0054,PO-PL-4860,NZD,3469.84,GST-FREE,P&L transaction - Cloud services,Workday
TXN004263,2026-06-04,2026-06-02,2026-06,FJI01,5320,,FIN,Melbourne Airport,BOB-PL-0055,PO-PL-3883,NZD,148979.25,EXPORT,P&L transaction - Audit fees,API Import
TXN004264,2026-06-04,2026-02-25,2026-06,PNG01,2210,,VIC,AWS,BOB-PL-0056,PO-PL-3504,NZD,130874.88,GST,P&L transaction - Income tax payable,Oracle
TXN004265,2026-06-18,2026-06-15,2026-06,AUS01,5200,,HR,Snowflake,BOB-PL-0057,PO-PL-7028,USD,39507.38,EXPORT,P&L transaction - Software licenses,API Import
TXN004266,2026-06-28,2026-06-18,2026-06,PNG01,5520,,R&D,Salesforce,BOB-PL-0058,PO-PL-7632,GBP,11934.97,INPUT,P&L transaction - Events,API Import
TXN004267,2026-06-02,2026-02-21,2026-06,NZL01,5000,,OPS,Officeworks,BOB-PL-0059,PO-PL-1122,NZD,130147.75,INPUT,P&L transaction - Salaries and wages,Manual Entry
TXN004268,2026-06-08,2026-02-26,2026-06,PNG01,5510,,TAS,SAP Australia,BOB-PL-0060,PO-PL-2249,AUD,130588.58,EXPORT,P&L transaction - Advertising,SAP
TXN004269,2026-06-23,2026-06-13,2026-06,PNG01,6020,,ACT,Snowflake,BOB-PL-0061,PO-PL-4122,USD,23543.73,GST,P&L transaction - Direct labor,API Import
TXN004270,2026-06-10,2026-06-05,2026-06,PNG01,6000,,NSW,Salesforce,BOB-PL-0062,PO-PL-9178,USD,125423.18,INPUT,P&L transaction - Cost of goods sold,SAP
TXN004271,2026-06-15,2026-06-10,2026-06,PNG01,2210,,SA,Energy Australia,BOB-PL-0063,PO-PL-3309,GBP,85683.76,INPUT,P&L transaction - Income tax payable,Workday
TXN004272,2026-06-26,2026-06-17,2026-06,FJI01,5010,,WA,Energy Australia,BOB-PL-0064,PO-PL-9776,AUD,103010.31,INPUT,P&L transaction - Employee benefits,SAP
TXN004273,2026-06-05,2026-02-27,2026-06,AUS01,5910,,FIN,Google Ads,BOB-PL-0065,PO-PL-8137,GBP,173171.92,GST,P&L transaction - Interest expense,API Import
TXN004274,2026-06-11,2026-06-09,2026-06,PNG01,4010,,OPS,Officeworks,BOB-PL-0066,PO-PL-6915,USD,202848.76,INPUT,P&L transaction - Service revenue,Manual Entry
TXN004275,2026-06-12,2026-06-06,2026-06,PNG01,6030,,SA,Salesforce,BOB-PL-0067,PO-PL-6292,AUD,81716.5,GST,P&L transaction - Manufacturing overhead,SAP
TXN004276,2026-06-09,2026-06-05,2026-06,NZL01,6000,,OPS,IBM Australia,BOB-PL-0068,PO-PL-5563,NZD,30549.36,EXPORT,P&L transaction - Cost of goods sold,API Import
TXN004277,2026-06-16,2026-06-14,2026-06,AUS01,4020,,R&D,SAP Australia,BOB-PL-0069,PO-PL-9881,NZD,267436.68,GST,P&L transaction - Subscription revenue,SAP
TXN004278,2026-06-19,2026-06-18,2026-06,NZL01,5510,,ACT,QBE Insurance,BOB-PL-0070,PO-PL-7471,AUD,122291.18,EXPORT,P&L transaction - Advertising,API Import
TXN004279,2026-06-24,2026-06-14,2026-06,NZL01,2210,,QLD,Deloitte,BOB-PL-0071,PO-PL-8144,AUD,174603.55,GST-FREE,P&L transaction - Income tax payable,SAP
TXN004280,2026-06-07,2026-06-04,2026-06,AUS01,4010,,HR,LinkedIn,BOB-PL-0072,PO-PL-2254,NZD,344920.3,GST,P&L transaction - Service revenue,API Import
TXN004281,2026-06-21,2026-06-14,2026-06,NZL01,5120,,SA,IBM Australia,BOB-PL-0073,PO-PL-7225,USD,92700.17,GST,P&L transaction - Office supplies,API Import
TXN004282,2026-06-08,2026-06-02,2026-06,AUS01,6010,,CORP,Snowflake,BOB-PL-0074,PO-PL-3757,NZD,81778.14,GST-FREE,P&L transaction - Direct materials,Manual Entry
TXN004283,2026-06-06,2026-02-28,2026-06,FJI01,5510,,VIC,Oracle,BOB-PL-0075,PO-PL-6741,USD,123719.04,GST,P&L transaction - Advertising,SAP
TXN004284,2026-06-16,2026-06-11,2026-06,FJI01,5910,,IT,Google Ads,BOB-PL-0076,PO-PL-1174,NZD,167025.95,GST-FREE,P&L transaction - Interest expense,Manual Entry
TXN004285,2026-06-12,2026-06-09,2026-06,PNG01,2210,,QLD,Deloitte,BOB-PL-0077,PO-PL-6969,AUD,114592.36,GST,P&L transaction - Income tax payable,Workday
TXN004286,2026-06-22,2026-06-18,2026-06,FJI01,5010,,HR,QBE Insurance,BOB-PL-0078,PO-PL-8056,GBP,26452.97,EXPORT,P&L transaction - Employee benefits,Workday
TXN004287,2026-06-11,2026-06-09,2026-06,NZL01,5510,,R&D,Snowflake,BOB-PL-0079,PO-PL-2258,AUD,106609.53,GST,P&L transaction - Advertising,API Import
TXN004288,2026-06-30,2026-06-24,2026-06,FJI01,5100,,OPS,Deloitte,BOB-PL-0080,PO-PL-2237,NZD,73072.22,GST,P&L transaction - Office rent,Oracle
TXN004289,2026-06-08,2026-02-28,2026-06,FJI01,2210,,HR,Salesforce,BOB-PL-0081,PO-PL-9532,USD,150372.57,GST,P&L transaction - Income tax payable,Manual Entry
TXN004290,2026-06-27,2026-06-21,2026-06,AUS01,4000,,WA,LinkedIn,BOB-PL-0082,PO-PL-3218,NZD,497554.53,GST,P&L transaction - Product sales,Workday
TXN004291,2026-06-24,2026-06-19,2026-06,NZL01,2210,,CORP,QBE Insurance,BOB-PL-0083,PO-PL-1420,AUD,137907.28,INPUT,P&L transaction - Income tax payable,SAP
TXN004292,2026-06-26,2026-06-18,2026-06,FJI01,5920,,IT,Google Ads,BOB-PL-0084,PO-PL-5534,AUD,130157.61,GST-FREE,P&L transaction - FX Loss,Manual Entry
TXN004293,2026-06-01,2026-02-19,2026-06,NZL01,2210,,TAS,Salesforce,BOB-PL-0085,PO-PL-7087,NZD,82144.34,GST,P&L transaction - Income tax payable,Oracle
TXN004294,2026-06-06,2026-02-27,2026-06,NZL01,5500,,MKT,QBE Insurance,BOB-PL-0086,PO-PL-6448,GBP,123824.45,GST,P&L transaction - Campaign spend,Manual Entry
TXN004295,2026-06-30,2026-06-20,2026-06,NZL01,5520,,NSW,Google Ads,BOB-PL-0087,PO-PL-2465,AUD,21893.12,GST-FREE,P&L transaction - Events,Manual Entry
TXN004296,2026-06-09,2026-02-28,2026-06,AUS01,5700,,SA,Qantas Commercial,BOB-PL-0088,PO-PL-1841,NZD,158589.49,EXPORT,P&L transaction - Training,SAP
TXN004297,2026-06-16,2026-06-14,2026-06,AUS01,5910,,HR,AWS,BOB-PL-0089,PO-PL-9940,NZD,183446.71,INPUT,P&L transaction - Interest expense,Oracle
TXN004298,2026-06-23,2026-06-17,2026-06,NZL01,6000,,CORP,QBE Insurance,BOB-PL-0090,PO-PL-5876,GBP,89694.41,GST,P&L transaction - Cost of goods sold,SAP
TXN004299,2026-06-23,2026-06-17,2026-06,PNG01,4000,,TAS,Snowflake,BOB-PL-0091,PO-PL-7149,USD,480837.55,GST,P&L transaction - Product sales,Workday
TXN004300,2026-06-11,2026-06-04,2026-06,NZL01,5200,,SA,Salesforce,BOB-PL-0092,PO-PL-4361,NZD,168138.56,EXPORT,P&L transaction - Software licenses,SAP
TXN004301,2026-06-11,2026-06-07,2026-06,PNG01,5210,,FIN,SAP Australia,BOB-PL-0093,PO-PL-7812,GBP,44596.52,INPUT,P&L transaction - Cloud services,Manual Entry
TXN004302,2026-06-16,2026-06-14,2026-06,AUS01,2210,,NSW,QBE Insurance,BOB-PL-0094,PO-PL-7878,AUD,46266.03,GST-FREE,P&L transaction - Income tax payable,Oracle
TXN004303,2026-06-25,2026-06-19,2026-06,NZL01,5510,,CORP,AWS,BOB-PL-0095,PO-PL-4516,GBP,116334.76,GST-FREE,P&L transaction - Advertising,Oracle
TXN004304,2026-06-13,2026-06-12,2026-06,FJI01,5120,,NSW,Qantas Commercial,BOB-PL-0096,PO-PL-5300,GBP,101065.94,GST,P&L transaction - Office supplies,Manual Entry
TXN004305,2026-06-05,2026-02-28,2026-06,FJI01,5210,,R&D,QBE Insurance,BOB-PL-0097,PO-PL-6394,USD,196301.76,GST-FREE,P&L transaction - Cloud services,Workday
TXN004306,2026-06-31,2026-06-22,2026-06,AUS01,5920,,WA,Oracle,BOB-PL-0098,PO-PL-3663,USD,48619.14,GST,P&L transaction - FX Loss,Manual Entry
TXN004307,2026-06-22,2026-06-15,2026-06,FJI01,4010,,NSW,AWS,BOB-PL-0099,PO-PL-6531,AUD,344396.3,GST-FREE,P&L transaction - Service revenue,Manual Entry
TXN004308,2026-06-16,2026-06-08,2026-06,FJI01,5920,,OPS,Salesforce,BOB-PL-0100,PO-PL-6331,GBP,97834.84,GST-FREE,P&L transaction - FX Loss,API Import
TXN004309,2026-06-11,2026-06-01,2026-06,NZL01,6010,,QLD,Energy Australia,BOB-PL-0101,PO-PL-4287,AUD,95027.19,GST-FREE,P&L transaction - Direct materials,Oracle
TXN004310,2026-06-15,2026-06-07,2026-06,NZL01,5510,,VIC,Salesforce,BOB-PL-0102,PO-PL-9785,NZD,111800.7,EXPORT,P&L transaction - Advertising,Workday
TXN004311,2026-06-03,2026-02-27,2026-06,FJI01,5010,,MKT,AWS,BOB-PL-0103,PO-PL-1264,NZD,181019.65,INPUT,P&L transaction - Employee benefits,Oracle
TXN004312,2026-06-04,2026-02-24,2026-06,NZL01,6000,,NSW,Energy Australia,BOB-PL-0104,PO-PL-3246,AUD,146488.79,EXPORT,P&L transaction - Cost of goods sold,SAP
TXN004313,2026-06-31,2026-06-25,2026-06,AUS01,5000,,VIC,QBE Insurance,BOB-PL-0105,PO-PL-8117,GBP,52518.3,EXPORT,P&L transaction - Salaries and wages,API Import
TXN004314,2026-06-27,2026-06-22,2026-06,NZL01,6030,,R&D,Qantas Commercial,BOB-PL-0106,PO-PL-6218,AUD,62676.67,GST,P&L transaction - Manufacturing overhead,Manual Entry
TXN004315,2026-06-24,2026-06-16,2026-06,PNG01,5010,,R&D,Energy Australia,BOB-PL-0107,PO-PL-7310,NZD,112006.62,GST-FREE,P&L transaction - Employee benefits,API Import
TXN004316,2026-06-21,2026-06-14,2026-06,FJI01,5000,,ACT,Qantas Commercial,BOB-PL-0108,PO-PL-1359,AUD,72231.39,INPUT,P&L transaction - Salaries and wages,Oracle
TXN004317,2026-06-15,2026-06-07,2026-06,FJI01,5110,,TAS,Snowflake,BOB-PL-0109,PO-PL-3225,USD,139162.85,GST-FREE,P&L transaction - Utilities,API Import
TXN004318,2026-06-19,2026-06-18,2026-06,AUS01,5110,,SA,Melbourne Airport,BOB-PL-0110,PO-PL-1059,NZD,146678.41,EXPORT,P&L transaction - Utilities,SAP
TXN004319,2026-06-24,2026-06-20,2026-06,AUS01,5000,,HR,LinkedIn,BOB-PL-0111,PO-PL-9985,GBP,89958.12,INPUT,P&L transaction - Salaries and wages,Workday
TXN004320,2026-06-25,2026-06-19,2026-06,PNG01,5920,,ACT,LinkedIn,BOB-PL-0112,PO-PL-5451,NZD,6538.08,GST,P&L transaction - FX Loss,Manual Entry
TXN004321,2026-06-28,2026-06-22,2026-06,AUS01,5200,,FIN,SAP Australia,BOB-PL-0113,PO-PL-1471,GBP,138045.95,INPUT,P&L transaction - Software licenses,Oracle
TXN004322,2026-06-16,2026-06-13,2026-06,PNG01,2210,,HR,AWS,BOB-PL-0114,PO-PL-4492,GBP,120578.56,EXPORT,P&L transaction - Income tax payable,Oracle
TXN004323,2026-06-14,2026-06-04,2026-06,PNG01,4000,,MKT,IBM Australia,BOB-PL-0115,PO-PL-5694,NZD,81977.96,GST-FREE,P&L transaction - Product sales,SAP
TXN004324,2026-06-20,2026-06-10,2026-06,AUS01,4100,,SA,Snowflake,BOB-PL-0116,PO-PL-4208,AUD,81700.04,INPUT,P&L transaction - Interest income,Workday
TXN004325,2026-06-16,2026-06-10,2026-06,PNG01,4000,,FIN,Salesforce,BOB-PL-0117,PO-PL-9385,USD,270998.72,GST,P&L transaction - Product sales,Manual Entry
TXN004326,2026-06-08,2026-02-26,2026-06,PNG01,4020,,NSW,Officeworks,BOB-PL-0118,PO-PL-9483,GBP,480375.7,INPUT,P&L transaction - Subscription revenue,Oracle
TXN004327,2026-06-22,2026-06-12,2026-06,FJI01,5200,,VIC,IBM Australia,BOB-PL-0119,PO-PL-1583,AUD,25874.73,GST,P&L transaction - Software licenses,SAP
TXN004328,2026-06-21,2026-06-11,2026-06,PNG01,5510,,OPS,AWS,BOB-PL-0120,PO-PL-3256,AUD,117425.75,GST,P&L transaction - Advertising,SAP
TXN004329,2026-06-10,2026-06-09,2026-06,FJI01,5500,,SA,Qantas Commercial,BOB-PL-0121,PO-PL-8834,USD,199317.34,EXPORT,P&L transaction - Campaign spend,Oracle
TXN004330,2026-06-15,2026-06-10,2026-06,NZL01,5110,,CORP,Oracle,BOB-PL-0122,PO-PL-9173,AUD,25662.48,GST-FREE,P&L transaction - Utilities,Oracle
TXN004331,2026-06-23,2026-06-21,2026-06,FJI01,6000,,FIN,LinkedIn,BOB-PL-0123,PO-PL-8126,USD,37022.18,GST,P&L transaction - Cost of goods sold,Workday
TXN004332,2026-06-01,2026-02-23,2026-06,PNG01,6000,,QLD,Qantas Commercial,BOB-PL-0124,PO-PL-3185,USD,83578.38,EXPORT,P&L transaction - Cost of goods sold,Oracle
TXN004333,2026-06-27,2026-06-24,2026-06,FJI01,2210,,TAS,Melbourne Airport,BOB-PL-0125,PO-PL-3811,AUD,75216.12,GST,P&L transaction - Income tax payable,Oracle
TXN004334,2026-06-18,2026-06-09,2026-06,FJI01,2210,,WA,Melbourne Airport,BOB-PL-0126,PO-PL-3948,AUD,149112.99,GST,P&L transaction - Income tax payable,Manual Entry
TXN004335,2026-06-14,2026-06-05,2026-06,PNG01,2210,,SA,Snowflake,BOB-PL-0127,PO-PL-1303,AUD,108023.07,GST-FREE,P&L transaction - Income tax payable,Workday
TXN004336,2026-06-14,2026-06-08,2026-06,PNG01,5510,,WA,Google Ads,BOB-PL-0128,PO-PL-2955,USD,41113.52,INPUT,P&L transaction - Advertising,SAP
TXN004337,2026-06-05,2026-06-02,2026-06,PNG01,5210,,FIN,IBM Australia,BOB-PL-0129,PO-PL-2962,NZD,107543.3,INPUT,P&L transaction - Cloud services,Manual Entry
TXN004338,2026-06-06,2026-06-05,2026-06,NZL01,5300,,WA,LinkedIn,BOB-PL-0130,PO-PL-4550,USD,77439.7,EXPORT,P&L transaction - Professional services,SAP
TXN004339,2026-06-15,2026-06-08,2026-06,FJI01,6030,,WA,SAP Australia,BOB-PL-0131,PO-PL-7885,AUD,94766.74,INPUT,P&L transaction - Manufacturing overhead,API Import
TXN004340,2026-06-20,2026-06-16,2026-06,NZL01,5000,,HR,SAP Australia,BOB-PL-0132,PO-PL-6287,GBP,96490.46,GST-FREE,P&L transaction - Salaries and wages,Workday
TXN004341,2026-06-02,2026-02-20,2026-06,AUS01,2210,,NT,QBE Insurance,BOB-PL-0133,PO-PL-6380,GBP,70201.23,EXPORT,P&L transaction - Income tax payable,Manual Entry
TXN004342,2026-06-24,2026-06-18,2026-06,FJI01,5010,,IT,Google Ads,BOB-PL-0134,PO-PL-9186,USD,169344.15,EXPORT,P&L transaction - Employee benefits,Workday
TXN004343,2026-06-03,2026-06-02,2026-06,AUS01,5120,,SA,Oracle,BOB-PL-0135,PO-PL-7604,NZD,33061.15,GST,P&L transaction - Office supplies,Workday
TXN004344,2026-06-13,2026-06-11,2026-06,NZL01,5210,,IT,Snowflake,BOB-PL-0136,PO-PL-3777,GBP,25570.03,EXPORT,P&L transaction - Cloud services,Manual Entry
TXN004345,2026-06-15,2026-06-12,2026-06,PNG01,2210,,FIN,Oracle,BOB-PL-0137,PO-PL-3516,AUD,65019.44,GST-FREE,P&L transaction - Income tax payable,Workday
TXN004346,2026-06-12,2026-06-07,2026-06,PNG01,5100,,TAS,SAP Australia,BOB-PL-0138,PO-PL-3744,NZD,163714.79,GST-FREE,P&L transaction - Office rent,SAP
TXN004347,2026-06-08,2026-06-03,2026-06,AUS01,5010,,MKT,Deloitte,BOB-PL-0139,PO-PL-7199,USD,189846.42,EXPORT,P&L transaction - Employee benefits,API Import
TXN004348,2026-06-08,2026-06-02,2026-06,PNG01,4020,,WA,Qantas Commercial,BOB-PL-0140,PO-PL-5894,NZD,298628.81,INPUT,P&L transaction - Subscription revenue,API Import
TXN004349,2026-06-07,2026-02-28,2026-06,NZL01,5500,,OPS,Deloitte,BOB-PL-0141,PO-PL-3282,USD,181058.35,GST-FREE,P&L transaction - Campaign spend,Manual Entry
TXN004350,2026-06-24,2026-06-17,2026-06,FJI01,6030,,OPS,Microsoft,BOB-PL-0142,PO-PL-4230,USD,104027.06,GST-FREE,P&L transaction - Manufacturing overhead,Workday
TXN004351,2026-06-16,2026-06-10,2026-06,AUS01,5500,,SA,Energy Australia,BOB-PL-0143,PO-PL-6967,AUD,38445.9,INPUT,P&L transaction - Campaign spend,Manual Entry
TXN004352,2026-06-29,2026-06-21,2026-06,NZL01,5000,,ACT,Salesforce,BOB-PL-0144,PO-PL-3922,GBP,115867.35,GST,P&L transaction - Salaries and wages,Manual Entry
