Demo_Task,Fiscal_Period,ESG_Record_ID,Linked_GL_Txn_ID,Entity,Cost_Center,Cost_Center_Name,ESG_Category,Account_Code,Account_Name,Supplier,Invoice_Number,PO_Number,Spend_AUD,Sustainability_KPI,KPI_Target,KPI_Actual,KPI_Attainment_Percent,Carbon_tCO2e,Renewable_Source_Percent,Supplier_ESG_Score,Working_Capital_Impact_AUD,Margin_Impact_Points,Misclassification_Flag,Leakage_Flag,Disclosure_Evidence_Status,Audit_Readiness,Recommended_Action,Approval_Required,Source_File_Target
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0011,TXN006219,AUS01,NT,Northern Territory Operations,Renewable sourcing premium,6000,Cost of Goods Sold,Carbon Neutral Pty Ltd,BOB-ESG-0011,PO-ESG-4308,78551.51,renewable_kwh,253.09,302.32,119.5,219.88,19.4,60,-4543.01,-0.29,No,None,Complete,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0012,TXN006220,PNG01,WA,Western Australia Operations,Carbon offsets,5300,Professional Services,Green Freight,BOB-ESG-0012,PO-ESG-2383,36032.69,renewable_kwh,594.9,425.63,71.5,107.18,63.3,86,65269.85,0.25,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0013,TXN006221,NZL01,WA,Western Australia Operations,Fleet emissions,5400,Travel,Sustainable Packaging Co,BOB-ESG-0013,PO-ESG-7126,80670.93,supplier_score,320.8,392.58,122.4,385.47,28.3,98,63069.29,-0.58,No,None,Missing,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0014,TXN006222,NZL01,TAS,Tasmania Operations,Compliance assurance,5320,Audit Fees,Green Freight,BOB-ESG-0014,PO-ESG-7136,81469.45,supplier_score,794.37,936.34,117.9,533.21,66.1,85,25630.93,-0.32,Yes,ESG spend posted to non-ESG account or missing KPI link,Complete,Partial,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0015,TXN006223,AUS01,QLD,Queensland Operations,Energy usage,5110,Utilities,Energy Australia,BOB-ESG-0015,PO-ESG-5965,4057.52,renewable_kwh,773.81,641.22,82.9,170.06,50.9,88,8938.26,-0.62,No,None,Complete,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0016,TXN006224,AUS01,VIC,Victoria Operations,Renewable sourcing premium,6000,Cost of Goods Sold,Sustainable Packaging Co,BOB-ESG-0016,PO-ESG-7384,32524.09,waste_kg_reduced,529.88,417.17,78.7,547.42,91.9,75,-44668.34,0.1,No,None,Complete,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0017,TXN006225,AUS01,NT,Northern Territory Operations,Fleet emissions,5400,Travel,Carbon Neutral Pty Ltd,BOB-ESG-0017,PO-ESG-2918,34121.6,tCO2e avoided,773.99,652.1,84.3,505.61,79.5,74,25233.49,0.36,No,None,Missing,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0018,TXN006226,FJI01,VIC,Victoria Operations,Renewable sourcing premium,6000,Cost of Goods Sold,Climate Active Advisor,BOB-ESG-0018,PO-ESG-5354,17429.49,waste_kg_reduced,627.79,730.16,116.3,428.91,83.8,81,66169.37,-0.13,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Ready,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0019,TXN006227,FJI01,NSW,New South Wales Operations,Fleet emissions,5400,Travel,Climate Active Advisor,BOB-ESG-0019,PO-ESG-8624,23540.93,audit_evidence_count,289.36,281.48,97.3,50.14,75.0,47,-1706.26,-0.16,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0020,TXN006228,AUS01,TAS,Tasmania Operations,Waste reduction,5600,Telecommunications,Sustainable Packaging Co,BOB-ESG-0020,PO-ESG-2852,7683.28,supplier_score,96.69,102.23,105.7,320.52,42.3,67,-24913.08,-0.77,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0021,TXN006229,PNG01,R&D,Research & Development,Waste reduction,5600,Telecommunications,Carbon Neutral Pty Ltd,BOB-ESG-0021,PO-ESG-2557,38890.0,waste_kg_reduced,284.5,272.64,95.8,310.67,27.0,97,-41037.6,-0.27,No,None,Missing,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0022,TXN006230,FJI01,OPS,Operations & Logistics,Renewable sourcing premium,6000,Cost of Goods Sold,Green Freight,BOB-ESG-0022,PO-ESG-2826,65674.85,tCO2e avoided,982.72,780.2,79.4,164.8,68.5,88,35864.67,-0.71,No,None,Missing,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0023,TXN006231,FJI01,OPS,Operations & Logistics,Energy usage,5110,Utilities,Bureau Veritas,BOB-ESG-0023,PO-ESG-1886,92532.41,waste_kg_reduced,642.49,500.35,77.9,455.7,54.3,83,48948.77,-0.04,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0024,TXN006232,NZL01,QLD,Queensland Operations,Waste reduction,5600,Telecommunications,EcoVadis,BOB-ESG-0024,PO-ESG-5832,15019.71,supplier_score,909.9,725.08,79.7,304.03,92.9,50,66488.47,-0.06,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0025,TXN006233,FJI01,R&D,Research & Development,Compliance assurance,5320,Audit Fees,Green Freight,BOB-ESG-0025,PO-ESG-1241,73788.94,renewable_kwh,573.85,498.71,86.9,501.8,21.2,51,-23687.89,-0.23,Yes,ESG spend posted to non-ESG account or missing KPI link,Missing,Ready,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0026,TXN006234,PNG01,CORP,Corporate Head Office,Renewable sourcing premium,6000,Cost of Goods Sold,Origin Energy,BOB-ESG-0026,PO-ESG-2502,78350.07,audit_evidence_count,684.4,579.7,84.7,194.28,15.6,68,-25344.62,0.26,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0027,TXN006235,AUS01,FIN,Finance & Accounting,Waste reduction,5600,Telecommunications,Bureau Veritas,BOB-ESG-0027,PO-ESG-8635,81825.35,waste_kg_reduced,335.94,361.77,107.7,159.25,84.2,66,24175.12,0.37,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0028,TXN006236,FJI01,CORP,Corporate Head Office,Waste reduction,5600,Telecommunications,Origin Energy,BOB-ESG-0028,PO-ESG-2405,21723.31,supplier_score,607.43,554.63,91.3,379.52,85.3,78,-37499.69,-0.07,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0029,TXN006237,FJI01,QLD,Queensland Operations,Carbon offsets,5300,Professional Services,Climate Active Advisor,BOB-ESG-0029,PO-ESG-6094,58741.8,supplier_score,498.44,382.6,76.8,257.4,44.2,50,-25653.7,-0.33,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0030,TXN006238,NZL01,QLD,Queensland Operations,Energy usage,5110,Utilities,Climate Active Advisor,BOB-ESG-0030,PO-ESG-9296,53179.86,waste_kg_reduced,918.83,1122.93,122.2,137.46,97.9,62,-21832.2,-0.76,No,None,Complete,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0031,TXN006239,AUS01,WA,Western Australia Operations,Compliance assurance,5320,Audit Fees,Green Freight,BOB-ESG-0031,PO-ESG-9423,114169.19,waste_kg_reduced,560.56,477.15,85.1,510.71,20.0,50,65641.48,-0.77,No,None,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0032,TXN006240,AUS01,QLD,Queensland Operations,Sustainable packaging,6010,Direct Materials,Bureau Veritas,BOB-ESG-0032,PO-ESG-3056,99072.49,supplier_score,825.74,735.3,89.0,235.01,61.1,69,-16801.73,0.29,No,None,Partial,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0033,TXN006241,PNG01,OPS,Operations & Logistics,Energy usage,5110,Utilities,Sustainable Packaging Co,BOB-ESG-0033,PO-ESG-5451,112479.94,audit_evidence_count,828.89,714.84,86.2,73.54,8.0,71,74359.28,0.34,Yes,ESG spend posted to non-ESG account or missing KPI link,Complete,Partial,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0034,TXN006242,FJI01,HR,Human Resources,Renewable sourcing premium,6000,Cost of Goods Sold,EcoVadis,BOB-ESG-0034,PO-ESG-9724,47567.53,waste_kg_reduced,961.05,732.7,76.2,457.38,95.7,62,50132.68,-0.36,No,None,Partial,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0035,TXN006243,FJI01,VIC,Victoria Operations,Supplier ESG premium,6010,Direct Materials,Sustainable Packaging Co,BOB-ESG-0035,PO-ESG-4083,49977.27,audit_evidence_count,240.9,218.62,90.8,446.24,86.8,83,43098.55,-0.11,No,None,Missing,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0036,TXN006244,NZL01,SA,South Australia Operations,Energy usage,5110,Utilities,Bureau Veritas,BOB-ESG-0036,PO-ESG-7411,43375.31,tCO2e avoided,869.04,833.52,95.9,182.91,9.0,69,-29122.01,-0.71,Yes,ESG spend posted to non-ESG account or missing KPI link,Missing,Partial,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0037,TXN006245,AUS01,R&D,Research & Development,Compliance assurance,5320,Audit Fees,Green Freight,BOB-ESG-0037,PO-ESG-4660,103032.88,renewable_kwh,937.0,976.2,104.2,196.95,40.2,98,37018.19,0.21,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0038,TXN006246,PNG01,FIN,Finance & Accounting,Energy usage,5110,Utilities,Energy Australia,BOB-ESG-0038,PO-ESG-5484,84548.62,waste_kg_reduced,853.12,787.46,92.3,216.18,90.8,73,-30739.36,-0.11,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0039,TXN006247,FJI01,IT,Information Technology,Waste reduction,5600,Telecommunications,Green Freight,BOB-ESG-0039,PO-ESG-6239,104455.76,audit_evidence_count,552.61,612.88,110.9,526.91,59.8,78,51915.81,-0.62,Yes,ESG spend posted to non-ESG account or missing KPI link,Complete,Partial,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0040,TXN006248,AUS01,VIC,Victoria Operations,Supplier ESG premium,6010,Direct Materials,Climate Active Advisor,BOB-ESG-0040,PO-ESG-8653,37351.95,waste_kg_reduced,438.25,535.96,122.3,348.11,38.7,85,12971.32,-0.5,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0041,TXN006249,NZL01,CORP,Corporate Head Office,Compliance assurance,5320,Audit Fees,Sustainable Packaging Co,BOB-ESG-0041,PO-ESG-9628,6531.15,waste_kg_reduced,919.12,727.61,79.2,398.97,74.1,65,-1377.96,-0.37,No,None,Partial,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0042,TXN006250,NZL01,WA,Western Australia Operations,Waste reduction,5600,Telecommunications,Green Freight,BOB-ESG-0042,PO-ESG-7588,11068.96,tCO2e avoided,714.06,600.35,84.1,301.14,70.2,75,-17396.51,0.1,No,None,Complete,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0043,TXN006251,PNG01,IT,Information Technology,Supplier ESG premium,6010,Direct Materials,Energy Australia,BOB-ESG-0043,PO-ESG-8433,62908.59,waste_kg_reduced,560.48,404.96,72.3,35.01,4.6,52,59615.48,-0.28,No,None,Missing,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0044,TXN006252,FJI01,MKT,Marketing & Sales,Supplier ESG premium,6010,Direct Materials,Green Freight,BOB-ESG-0044,PO-ESG-3931,36078.51,waste_kg_reduced,91.91,71.59,77.9,379.65,37.0,83,-22796.6,0.17,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0045,TXN006253,AUS01,IT,Information Technology,Supplier ESG premium,6010,Direct Materials,Energy Australia,BOB-ESG-0045,PO-ESG-1818,30950.8,tCO2e avoided,658.73,526.97,80.0,108.56,33.9,51,40663.72,0.03,No,None,Partial,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0046,TXN006254,PNG01,TAS,Tasmania Operations,Sustainable packaging,6010,Direct Materials,Origin Energy,BOB-ESG-0046,PO-ESG-2397,56586.79,audit_evidence_count,980.09,942.8,96.2,92.9,88.6,88,-42317.08,0.27,No,None,Complete,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0047,TXN006255,PNG01,ACT,Australian Capital Territory,Sustainable packaging,6010,Direct Materials,EcoVadis,BOB-ESG-0047,PO-ESG-4862,97853.24,supplier_score,135.71,164.92,121.5,40.83,76.5,77,-7843.64,-0.39,No,None,Complete,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0048,TXN006256,NZL01,NT,Northern Territory Operations,Fleet emissions,5400,Travel,Carbon Neutral Pty Ltd,BOB-ESG-0048,PO-ESG-1718,24843.03,audit_evidence_count,711.26,586.2,82.4,118.38,55.4,62,29215.03,-0.52,No,None,Missing,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0049,TXN006257,AUS01,HR,Human Resources,Energy usage,5110,Utilities,Green Freight,BOB-ESG-0049,PO-ESG-3095,67026.27,audit_evidence_count,972.66,1154.74,118.7,395.09,22.3,82,-6979.49,0.08,No,None,Complete,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0050,TXN006258,AUS01,FIN,Finance & Accounting,Compliance assurance,5320,Audit Fees,Sustainable Packaging Co,BOB-ESG-0050,PO-ESG-3482,77462.33,audit_evidence_count,315.9,325.49,103.0,216.48,85.4,72,42780.07,0.25,Yes,ESG spend posted to non-ESG account or missing KPI link,Complete,Partial,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0051,TXN006259,FJI01,R&D,Research & Development,Fleet emissions,5400,Travel,Green Freight,BOB-ESG-0051,PO-ESG-2249,117227.03,supplier_score,170.36,193.74,113.7,33.38,83.0,86,8014.7,-0.31,No,None,Partial,Ready,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0052,TXN006260,FJI01,QLD,Queensland Operations,Energy usage,5110,Utilities,Climate Active Advisor,BOB-ESG-0052,PO-ESG-7437,63149.06,renewable_kwh,976.42,704.27,72.1,297.09,16.9,67,-46745.66,-0.01,No,None,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0053,TXN006261,PNG01,MKT,Marketing & Sales,Renewable sourcing premium,6000,Cost of Goods Sold,Green Freight,BOB-ESG-0053,PO-ESG-4019,50947.33,supplier_score,125.18,98.63,78.8,46.96,76.8,91,49948.86,-0.25,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0054,TXN006262,FJI01,QLD,Queensland Operations,Carbon offsets,5300,Professional Services,Bureau Veritas,BOB-ESG-0054,PO-ESG-6100,91118.07,tCO2e avoided,94.08,68.83,73.2,503.13,37.4,61,-8421.02,-0.79,No,None,Complete,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0055,TXN006263,PNG01,NSW,New South Wales Operations,Energy usage,5110,Utilities,Sustainable Packaging Co,BOB-ESG-0055,PO-ESG-4605,53238.51,waste_kg_reduced,942.83,938.1,99.5,504.71,41.1,76,-18505.21,-0.06,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
